int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Crail,30,24,2000,2001,2003,2002,81499318,108331132,698,811,850,875,28,2082
Colwyn Bay (Bae Colwyn),13,12,2003,2004,2003,2003,9105204,12759939,186,224,292,281,2,168
Silvertown,17,14,1992,1989,2008,2008,456317782,670578364,374,2055,3285,4169,66,5095
Sandown,4,4,2006,2006,2010,2010,534077621,984638204,561,2450,4275,6877,58,4457
Boddam,12,12,2006,2006,2011,2010,364870580,488346179,513,1447,2369,2093,69,5261
Gorran Haven,7,7,2006,2006,2009,2011,77353096,91234491,553,585,575,589,9,680
Portavogie,3,3,1991,1991,1995,1996,2997435,4113182,613,586,558,827,1,109
Brandesburton,13,11,2004,2004,2005,2006,257739573,351184771,797,901,1010,1180,42,3163
Newlyn,15,7,1988,1977,1988,1982,1030918,590416,392,495,436,460,13,991
North Queensferry,42,26,1991,1998,1998,1998,74910310,107516755,528,656,594,618,26,1981
Holywood,4,4,2006,2006,2004,2007,32703863,15095793,680,797,327,642,8,609
Sandwich,15,9,2006,2008,2010,2010,44934287,66834489,144,1383,745,749,17,1277
Finnart,32,26,2010,2011,2013,2013,4331577062,8188033951,963,2145,2966,3107,510,39434
Penberth,7,7,2008,2008,2010,2010,395060658,682880012,671,1291,1374,1428,40,3061
Portnaguran And Ness,8,8,2002,2002,2013,2014,123032836,217465233,1425,1168,698,693,14,1107
Bowling,2,2,2006,2006,2005,2005,21274910,29279164,1197,1197,1315,1321,5,388
Freshwater East,2,2,2002,2002,2002,2002,1913046,3086647,372,372,385,402,1,58
Troon,5,4,1994,1997,2003,2003,109045604,198193705,610,855,1647,1680,20,1583
Charlestown,3,2,2008,2008,2008,2008,6764600,7951230,556,985,893,1017,3,240
Limekilns,2,2,2007,2007,2006,2006,9726640,12778478,657,657,684,689,3,223
Heysham,187,12,2005,1998,2007,2006,525634226,195010427,129,484,213,210,140,10867
Chillington,16,16,2005,2005,2007,2004,440299427,204085792,705,1293,1832,1319,36,2765
Abergele,1,1,2000,2000,2000,2000,278777,120219,106,106,106,106,0,8
Kilkeel,23,13,2006,2001,2003,2004,88843525,143371251,228,988,1271,1390,16,1186
Cushendun,2,2,1996,1996,1998,1996,11369354,7557574,2199,2199,2227,1717,5,358
"Magilligan Point Ferry Terminal, Lough Foyle",1,1,2000,2000,2000,2000,158245,68241,60,60,60,60,0,7
Ardglass,5,5,1995,1995,1991,1991,3127126,3182748,147,352,468,604,1,98
Dalgety Bay,2,2,2008,2008,2009,2008,2476853,2320833,587,587,553,577,1,85
Great Oakley,35,22,1996,1998,2000,2000,37881695,33816498,203,403,339,377,13,984
Port Seton,9,9,2003,2003,2011,2011,193302317,348922626,414,1038,555,524,18,1370
"North Haven, Fair Isle",3,3,1999,1999,1999,2000,14876153,16861852,545,695,744,739,6,449
Penarth,9,9,2002,2002,2005,2005,74698417,119013704,1222,1386,1579,1648,15,1155
Oban,9,9,1999,1999,1999,1998,56791705,6260458,568,475,699,539,18,1376
Shanklin,6,6,2005,2005,2007,2005,126768172,173333777,312,643,449,510,15,1119
Chideock,8,8,1999,1999,2011,2012,445602326,801190804,745,1115,2241,2901,33,2543
Saint Marys Bay,3,3,1997,1997,1994,1994,651941,891504,104,103,83,81,0,26
Saint Martins,12,11,1992,1992,1998,2007,79044439,72249105,206,402,298,699,21,1642
"Ceann A Gharaidh, Eriskay",3,3,2006,2006,2006,2006,15305444,22307966,782,920,986,978,4,275
Morfa Nefyn,1,1,1994,1994,1994,1994,2026130,3079784,828,828,828,828,0,34
River Dart,13,13,2001,2001,2011,2011,590978733,1092215576,344,691,1600,1765,50,3806
Northmavine,19,18,2001,2000,2006,2006,630093308,1136798780,845,946,1016,1021,54,4066
Kilchoan,1,1,1999,1999,1999,1999,2132983,3512980,962,962,962,962,1,55
Middlesbrough,16,11,2001,2005,2003,2001,32863037,48891948,361,529,478,455,15,1103
Oulton Broad,21,13,2003,2005,2005,2004,10749486,15026222,116,442,139,128,11,800
Blakeney,7,7,2003,2003,2003,2001,21289390,27908141,769,981,941,913,8,580
Fishguard,7,5,1994,1999,1986,2003,1019624501,257292532,733,3780,5951,3548,190,14595
Kinghorn,6,6,2011,2011,2012,2012,26542311,28313975,464,478,495,494,8,610
Tynemouth,12,12,2006,2006,2008,2008,203448663,321370096,336,793,1154,1819,30,2297
Garrabost,16,16,1994,1994,2002,2003,111068725,169788209,1042,1037,1026,1034,24,1804
Stackpole Quay,11,9,2008,2006,2007,2009,741693156,801163021,1385,1369,1586,1420,54,4138
Upnor,111,25,2006,2005,2007,2007,202444276,291256207,602,590,680,677,64,4773
Isles Of Scilly,21,15,1987,1990,1990,1987,96753746,14252205,173,227,207,205,27,2038
Dunvegan,4,4,2004,2004,2004,2003,7768564,9753681,1304,1148,1333,1476,3,262
Yarmouth,3,3,1999,1999,2009,2009,2540620,3758459,432,352,317,309,1,51
South Harris,3,3,2006,2006,2012,2012,297179124,388889738,495,2683,6919,7024,65,5037
Coleraine,6,5,2003,2001,2005,2005,3083589,4539178,218,291,256,253,1,87
Christchurch,1,1,2012,2012,2012,2012,501352,729167,197,197,197,197,0,10
Tyddewi (St David'S),6,6,2010,2010,2010,2008,152109735,126761174,707,692,696,705,24,1697
Kirkwall,10,10,1987,1987,1992,1984,20294656,4321392,274,542,768,665,18,1396
Conwy (Conway),13,13,2004,2004,2013,2012,706595312,511701770,828,1006,1520,1280,59,4510
Stornoway Harbor,6,6,1990,1990,1992,1992,58829299,50934229,689,1788,3734,3568,19,1428
Althorpe,11,11,1999,1999,1999,1999,17809899,25490229,614,770,770,767,7,506
Red Bay,3,3,1993,1993,1996,1996,33036919,30372040,2251,1650,2218,2365,8,613
Pentraeth,10,9,2001,2001,1999,1998,77589564,85237257,1004,6298,835,772,44,3303
Deerness,1,1,1992,1992,1992,1992,6932563,4687205,560,560,560,560,3,192
Exmouth,1,1,2009,2009,2009,2009,3002256,4422087,327,327,327,327,1,56
Polperro,1,1,2010,2010,2010,2010,4021489,6587840,969,969,969,969,1,83
Bexhill,3,3,2001,2001,2011,2011,20967569,38181646,235,228,226,226,4,266
Corpach,9,9,1997,1997,2006,2007,11880891,15125621,234,419,626,620,3,260
Donaghadee,10,9,1993,1992,2017,2017,247707908,138448561,394,750,2304,2271,23,1761
Papa Westray,4,4,2013,2013,2010,2010,9599681,12038312,486,515,571,603,2,185
Ardentinny,2,2,2007,2007,2011,2011,181197042,352888383,1124,1124,1259,1292,13,1046
Ballymartin,6,6,2008,2008,2009,2009,139648341,211415092,2083,2107,2943,2999,21,1590
Mallaig,7,6,2004,2002,2005,2005,2918146,3390263,469,502,377,401,3,207
Old Dornie,4,4,1976,1976,1973,1975,3467446,2212167,2952,2915,2833,2312,7,501
"Oddsta, Fetlar",2,2,1994,1994,1988,1988,13247567,13472136,1500,1500,2144,2257,3,259
West Burrafirth,1,1,1988,1988,1988,1988,9257744,9642722,1659,1659,1659,1659,2,138
Walls,2,2,2003,2003,2008,2007,8051232,7840470,818,818,789,772,2,142
Symbister,9,6,2014,2012,2016,2017,6713803,4396699,318,400,284,268,7,508
Loch Ryan Pt,3,3,1998,1998,1999,1995,12975275,6579042,245,529,206,422,3,257
Yell And Fetlar,2,2,2000,2000,1999,2000,5748068,3701525,842,842,718,683,3,209
Port Ellen,10,6,1979,1980,1999,1999,34604471,48694526,183,629,1572,1966,11,825
Lymington,2,2,2008,2008,2008,2008,337483,46757,66,66,66,66,0,29
Housa Voe,6,6,2005,2005,2009,2010,30648012,28034091,549,566,566,616,7,555
Southend-On-Sea,27,13,1996,1995,1999,2003,124146050,93713799,339,394,380,450,35,2658
Scourie,5,5,1997,1997,1997,2000,8740230,11060095,512,678,746,743,3,213
Patricroft,8,7,2004,2003,2010,2011,181750976,338087223,694,960,2241,2316,88,6763
Aith,2,2,2010,2010,2014,2014,96542919,143847508,2160,2160,3798,3856,9,728
Avoch,6,5,2004,2003,2005,2005,15601704,21804203,715,806,944,954,6,452
Fortrose,2,2,2004,2004,2002,2002,7012807,9258148,1403,1403,1474,1329,2,184
Thundersley,18,15,2005,2004,2008,2008,234163152,281956520,379,660,823,850,45,3396
Toft,3,3,2002,2002,2003,2002,1733355,973501,506,514,515,519,2,173
Bruichladdich,4,4,1992,1992,1983,1986,37059205,7727295,460,946,1975,763,17,1279
Lybster,13,9,2008,2008,2009,2009,20959798,27251310,730,780,821,899,13,996
Scarfskerry,4,4,2000,2000,1999,1999,45429117,42415446,776,1902,2689,2892,14,1052
Wyke Regis,2,2,2008,2008,2008,2008,23684394,10656340,483,483,391,417,2,139
Faslane,3,3,2011,2011,2014,2014,532686,419512,330,826,718,743,6,443
Hamars Ness,1,1,1988,1988,1988,1988,180595,82306,799,799,799,799,0,35
Balintore,7,6,2009,2009,2008,2008,22209491,27811787,754,921,957,1080,9,653
Ulva Ferry,1,1,1973,1973,1973,1973,707372,580204,993,993,993,993,0,29
Folkestone,9,8,2005,2006,2014,2014,129301514,217411000,285,452,639,671,11,864
Southwick,14,9,2000,2001,2001,2001,21531445,32583452,539,699,559,560,8,588
Bude,1,1,1987,1987,1987,1987,3084271,4122089,1167,1167,1167,1167,1,104
Cullivoe,7,6,2003,2003,2003,2001,9930313,7685778,815,772,859,890,5,395
Portknockie,6,6,1992,1992,1998,1999,6681266,7899037,424,500,649,694,2,186
Hemsby,12,8,2010,2008,2012,2011,49962383,45233957,418,1119,646,493,23,1705
Greatham,2,2,1992,1992,1995,1995,1226236,1728751,354,354,366,367,1,39
Coll,1,1,2009,2009,2009,2009,1987980,2990262,663,663,663,663,1,52
Ardveenish,1,1,2004,2004,2004,2004,61324,54754,243,243,243,243,0,14
Stroma,3,3,2002,2002,2002,2002,138488335,215924781,1082,2015,1673,1520,21,1618
Rhu,3,3,1999,1999,2006,2008,530188,340124,344,630,583,882,3,232
Fishbourne,3,3,2003,2003,2013,2014,6010016,9930523,270,274,308,312,9,696
Sullom Voe,16,16,2005,2005,2009,2009,661087381,1184062578,999,2934,986,980,81,5985
Aberdaron,12,11,2005,2004,2007,2005,369723439,475802564,763,806,927,1088,33,2505
Loch Torridon,4,4,2007,2007,2009,2009,80993267,150534767,1308,1200,1542,1560,9,676
Morston,6,5,2007,2008,2011,2010,7109842,10307993,254,458,373,369,2,175
Scarinish,4,4,1998,1998,1998,2000,5567611,4463309,524,521,529,589,2,152
Whitby,3,3,1972,1972,2004,2004,48214248,78574477,342,898,2081,2095,7,539
Burton Bradstock,4,4,2009,2009,2010,2008,41378989,31922167,319,279,326,305,5,342
Portsoy,10,10,1996,1996,2002,2002,52208962,86505215,624,847,673,663,9,639
Dunure,6,6,2006,2006,2011,2011,630794319,1206791743,1583,2173,2551,2615,75,5772
Sandwick,6,6,2009,2009,2011,2011,122864308,153688624,639,856,975,1228,17,1267
Aldersgate,7,7,1994,1994,1994,1986,22300063,3605971,402,735,319,424,14,1027
"Baile Mor, Iona",3,3,1981,1981,1990,1988,4864461,2264612,191,601,238,659,2,180
Port Gaverne,2,2,2006,2006,2014,2014,2395131,1095779,137,137,206,133,1,78
Cove (Leith),1,1,2013,2013,2013,2013,40916386,79610859,503,503,503,503,2,186
Saint Abbs,1,1,2013,2013,2013,2013,83277,42280,327,327,327,327,0,19
Dunbar,5,5,2010,2010,2011,2011,173956690,327696928,435,403,352,349,23,1751
Anstruther,2,2,2008,2008,2008,2008,5273310,2127554,819,819,872,793,4,306
Furnace,10,2,1990,1987,1992,1993,4375443,5990422,291,238,259,268,2,118
Hythe,13,13,2005,2005,2005,2005,115846152,136070502,309,958,950,991,25,1889
Newton Ferrers,1,1,1991,1991,1991,1991,879631,1159482,355,355,355,355,0,20
Collafirth,9,8,2009,2010,2010,2010,346285841,624778642,811,766,922,934,29,2159
Ravenglass,9,4,2013,2011,2013,2013,14758495,8520448,81,279,472,528,5,388
Keiss,1,1,1992,1992,1992,1992,2593803,2761582,1042,1042,1042,1042,1,56
Boscastle,2,2,1998,1998,2008,2008,51569734,82455797,1945,1945,2182,2185,7,573
East Wittering,23,7,2004,2004,2002,2006,22591499,23584490,179,145,145,142,7,550
Weymouth,2,2,2008,2008,1999,1998,923104,1248117,355,355,346,344,0,37
Talbot Green,2,2,1999,1999,1998,1998,885812,1279970,195,195,198,199,0,17
Port Erroll,2,2,2007,2007,2007,2007,297531,230886,350,350,244,261,1,75
Holy Island,3,3,2002,2002,2014,2014,66701332,128205308,400,614,401,401,6,471
Combe Martin,14,14,2006,2006,2006,2002,1270426619,799377756,1670,2037,2104,3042,82,6328
Brancaster Staithe,3,3,1998,1998,1997,1997,1466308,2066003,230,273,266,265,0,38
Sennen Cove,3,3,1998,1998,2004,2004,12711136,18320939,459,931,1226,1221,2,185
Toberonochy,1,1,2017,2017,2017,2017,8203,11848,91,91,91,91,0,4
Great Wakering,2,2,2008,2008,2007,2007,38100817,56950752,1475,1475,922,846,17,1311
Shifnal,2,2,2001,2001,1995,1998,7884229,3707308,559,559,669,547,2,135
Abbotsbury,1,1,1993,1993,1993,1993,2135309,794545,247,247,247,247,0,26
Largs,3,3,2005,2005,1994,1992,7947011,3046052,829,4673,3835,5401,37,2776
Elie,1,1,1999,1999,1999,1999,5352103,6876220,1264,1264,1264,1264,1,111
Mevagissey,5,3,1997,2002,2001,2001,2388118,3722295,192,212,183,183,1,86
Saint-Anne'S-On-Sea,4,2,2010,2003,2017,2017,205317665,305415128,1680,1680,2193,2191,29,2240
Seahouses,1,1,2001,2001,2001,2001,16650735,2895780,14479,14479,14479,14479,23,1763
