int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Greenock,204,55,2002,2003,2001,2001,2430192667,2742500184,660,1249,899,1138,569,43614
Great Yarmouth,250,170,2002,2002,2004,2004,712382036,881115772,341,979,701,655,485,36381
Eling,441,173,2009,2009,2013,2012,67126996503,68820309941,280,1785,1925,1844,6484,500144
Staxigoe,38,26,2003,2003,2000,1999,125868542,118760072,499,758,489,467,57,4269
Grimsby,658,166,1998,2001,2001,2003,2031365358,1229713097,232,1083,315,377,631,47439
Portland Uk,303,262,2007,2008,2009,2009,12292110312,21244209972,666,1479,1638,1759,1490,113734
Sheerness,632,167,2002,2005,2005,2004,6943129899,4324279413,174,904,626,737,1030,78446
Grangemouth,806,271,2006,2005,2012,2011,5892429467,6609749583,442,665,918,807,1561,111500
Glasgow,99,75,2007,2006,2007,2008,780554934,1224529444,890,1078,1393,1439,144,11041
Gravesend,100,66,1998,2001,1996,2004,444254233,243795557,193,278,254,282,132,9906
Eastham,343,176,2006,2005,2008,2008,1976692684,2813821261,797,904,957,962,677,51397
Dundee,113,82,2002,2002,1998,2002,406586824,427915617,485,580,606,654,126,9464
Shoreham,216,140,1998,1999,2002,2003,452359224,721376099,239,569,775,836,134,10131
Goole,450,194,1997,1998,1997,1997,517754546,715706827,385,574,551,542,181,13609
West Wemyss,16,13,2011,2010,2014,2014,263866508,253237558,542,788,1383,1253,42,2749
Kings Lynn,123,99,2002,2002,2002,2002,180723897,268258060,496,577,608,613,56,4194
Porthoustock,107,101,2007,2008,2008,2008,7099068022,12525361192,728,1623,2294,2391,785,60097
Steynton,543,297,2008,2008,2010,2010,21325368677,34742979008,580,1475,1524,1598,2642,201907
Cardiff,85,72,2002,2003,2002,2005,328070647,419045261,628,834,709,752,103,7830
Ipswich,407,244,1998,2000,2004,2004,912895853,1453509995,171,516,756,839,361,27213
Sunderland,152,124,2000,2001,2003,2003,484936231,714906266,493,649,737,734,142,10702
Peterhead,281,139,2004,2004,2007,2007,824390433,869202680,367,968,677,600,475,35715
"Maryfield, Bressay",77,56,1998,1997,2003,2000,2095403936,2177632166,620,643,694,753,422,32066
Broadstairs,418,308,2004,2004,2008,2007,4418926183,6829423281,170,569,684,788,721,54770
Ellesmere,100,64,2003,2004,2005,2005,326052209,450487769,771,826,900,887,100,7611
Erith,251,149,2000,2001,2001,2002,262911706,362793847,241,387,387,396,101,7613
Liverpool Bay Terminal,42,39,2004,2004,2004,2005,598135343,874672656,697,697,991,999,112,8533
Southampton,1065,397,2005,2006,2009,2011,75765090585,40107781819,542,1301,1237,1496,9059,694630
Ramsgate,48,30,2003,2002,2007,2005,65913244,26366051,157,335,380,309,34,2586
Cliffe,174,86,2003,2003,2005,2005,513128629,615966945,237,386,307,354,144,10818
Portsmouth,2391,116,1999,2001,2000,2003,11440587858,3437241695,111,1084,199,233,2934,221553
Portbury,628,280,2006,2008,2006,2007,24974396258,12381727959,603,916,950,960,1934,148348
Bangor,15,11,1999,1995,1999,2000,10082873,13066557,148,308,336,336,6,486
Sandbank,35,11,1992,1992,1993,1994,25284118,28023616,284,323,273,313,8,626
Kilchoan,1,1,1995,1995,1995,1995,2030415,3237181,990,990,990,990,1,61
Glasson Dock,14,11,1996,1995,1999,1999,13078013,20517597,520,371,454,462,4,327
Buckie,15,13,2003,2001,2012,2011,30524578,33570490,481,433,436,444,7,541
Fraserburgh,60,36,1995,1999,2002,2003,113117653,116667473,457,824,686,661,72,5446
Saint Mawes,37,37,2005,2005,2002,2003,1948251405,2921791223,739,1982,1676,1429,270,20686
Beer,27,24,2004,2005,2006,2006,3428596753,3265729304,1636,2850,2998,3159,386,29778
Torpoint,24,17,2002,2000,2008,2009,55941439,84076505,212,984,279,256,47,3539
Hound Point Terminal,82,67,2010,2009,2011,2011,74705695606,142301166245,884,7115,8135,9884,4560,351639
Marchwood,131,70,2011,2011,2015,2015,16062129154,16112315127,393,1506,1162,1152,1422,109489
Lerwick,150,121,2001,2001,2005,2004,539507916,264904740,490,843,569,701,206,15565
Holyhead,128,49,2003,2003,2004,2005,3711564200,1681844850,429,659,1017,1536,760,58241
White Hill Point,522,97,1992,2006,1997,2008,6517787473,4593301918,267,1102,450,1158,1221,92149
Grutness,66,59,1999,1999,2000,2003,414054864,484498088,396,766,830,753,144,10876
Castletown,56,45,2006,2005,2006,2007,499630690,387973639,302,641,618,802,119,9073
Baltasound,37,32,1997,1996,2002,2005,139710913,166183109,727,1190,966,904,48,3621
Flamborough,17,17,2001,2001,2003,2004,200116240,226631584,496,1270,1116,863,37,2811
Ramsey,16,12,2004,2003,2012,2011,67711659,94957765,721,817,739,849,20,1528
Brough,156,76,2000,1997,2000,1999,122786078,171140593,389,466,448,453,50,3749
New Holland,283,188,2001,2002,2003,2003,444668906,618030750,335,575,592,587,152,11402
Chatham,143,82,2001,2001,2002,2002,197298199,277111678,355,472,443,448,62,4629
Montrose,119,90,2005,2005,2008,2007,326790107,298163299,467,715,683,675,150,11247
Denton,8,8,2004,2004,2004,2004,7794469,11502134,246,438,478,487,2,168
Caister On Sea,111,58,2001,2003,2012,2013,752637367,1322165950,164,718,1066,1286,218,16458
Sennen Cove,5,5,1978,1978,1998,1998,7511690,10038806,529,543,662,700,3,193
Avonmouth,268,160,2005,2006,2007,2008,2049601947,2865746415,587,1019,1203,1229,433,33117
Bramshall,19,14,1997,1996,2005,2007,78990026,131649710,427,890,977,1053,18,1339
Covent Garden,34,21,1999,2003,2014,2014,191317709,335031969,262,927,829,854,44,3353
Mylor,68,59,2005,2005,2010,2011,1148963217,1602680973,806,1225,1555,1627,224,17101
Rosyth,108,60,1999,2000,1995,2001,780759648,485218150,436,671,603,596,193,14581
Little Oakley,473,55,2000,2004,2001,2002,912387116,573748110,115,228,124,137,305,22954
Renfrew,19,16,2004,2003,1998,1998,144508668,238151326,1371,1337,1258,1242,28,2127
Sutton Bridge,135,62,2003,2000,2002,2002,79155372,110775554,210,357,301,307,29,2164
Stackpole Quay,9,7,2006,2005,2006,2006,216979584,88451905,177,694,2286,1222,21,1577
Cowes,42,35,1997,1997,1994,1996,52492727,30979701,258,827,511,374,29,2145
Bognor Regis,6,6,2000,2000,2010,2010,282246514,280214984,1125,1316,1333,1355,26,2036
Gunness,227,139,2000,1999,2000,2000,197381063,279797405,281,441,436,445,70,5235
Hartlepool,160,137,2003,2003,2010,2010,1280100123,2075479333,473,742,1231,1334,232,17550
Bryher,8,8,2002,2002,2010,2010,181179411,284382850,1064,1090,1065,1150,23,1782
Porthgwarra,15,15,2009,2009,2007,2007,1293130832,2384429007,631,1867,2288,2589,102,7804
Lowestoft,98,73,2000,2000,2014,2014,3193478878,5946860625,253,992,3608,3964,317,24151
Seaham,142,71,2001,2004,2003,2003,147199162,215305663,386,487,461,462,68,5109
Barry,63,32,2002,2001,2002,2002,222679635,327379944,603,631,791,788,94,7118
Upnor,137,37,2006,2007,2005,2006,186241797,272411287,579,422,497,492,58,4366
Manchester Canal,12,10,2007,2010,2006,2006,24171586,39412506,716,660,687,681,8,613
Invergordon,45,38,2005,2004,2011,2010,868707062,214018854,543,611,603,706,182,13787
Swansea,95,76,2003,2004,2003,2003,344974250,496089983,546,870,992,1041,87,6646
Bromborough,43,41,2003,2003,2003,2003,77008822,115851043,640,626,633,648,23,1716
Brandesburton,10,9,2003,2003,2002,2004,95019981,89510634,313,528,567,593,23,1695
Runcorn,121,82,2001,2003,2002,2002,329662222,491178244,745,824,841,842,131,9934
Cromer,26,24,2001,1999,2004,2003,57909064,76881717,205,341,350,355,14,1060
Oulton Broad,7,7,1996,1996,1998,1996,4473003,5347623,376,547,415,416,7,500
Port Clarence,43,40,2003,2002,2005,2005,89959676,126712741,379,568,614,644,34,2548
Southwold,51,41,2003,2005,2007,2007,4949331115,9135747293,401,1322,3769,4481,357,27457
Salcombe,11,8,2012,2010,2010,2013,320880735,234972262,802,1093,1326,1062,30,2257
Brotton,38,28,2003,2004,2009,2010,352811328,510615055,493,1025,1038,1043,93,6989
