int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Salina,4,4,2008,2008,2007,2006,49973769,78817700,1390,5570,973,878,11,854
Aquilia,11,11,2001,2001,2009,2009,135303808,164610902,887,1377,1901,1767,66,5075
Cefalu,5,5,2001,2001,2003,2003,78395837,88038088,876,10520,896,858,27,2022
Giglio Porto,10,9,2008,2008,2009,2008,155622798,61998584,511,605,566,543,35,2681
Gaeta,36,35,1998,1999,2003,2005,267193850,415687545,745,848,750,728,54,4113
Melito Di Porto Salvo,34,28,2003,2001,2005,2004,411595977,463876448,488,699,674,799,65,5008
Porto Di Barletta,36,31,2002,2003,2004,2004,108488354,144402471,810,733,786,760,29,2225
Trebisacce,3,3,2003,2003,2006,2007,5440201,8134653,703,675,583,577,2,135
Porto Ferraio,45,25,1993,1994,1993,1994,156562926,27917431,204,462,405,461,64,4923
Pesaro,5,5,2002,2002,2008,2008,18624354,28898223,267,330,700,762,2,191
Cesenatico,6,3,1997,2002,1997,2005,48027541,27241981,1641,1573,3210,1443,66,4959
Sanremo,8,6,1999,1993,2004,2015,57579389,72597115,544,402,781,1172,21,1604
San Felice Circeo,3,3,1996,1996,1998,1998,6512513,9920165,654,672,676,672,1,101
Marsala,9,8,1999,2003,2009,2009,14902399,20674343,218,352,385,404,4,341
Cervia,4,4,2008,2008,2008,2009,22146349,27587165,576,532,534,527,7,508
Caorle,9,9,1999,1999,2006,2006,242847941,414487280,884,870,1097,1145,21,1628
Castiglioncello,6,6,2014,2014,2014,2015,559571580,273353160,1778,1535,1494,1055,44,3408
San Benedetto Del Tr,3,3,2001,2001,2008,2009,2217492,3231461,490,513,496,495,8,623
Marinella Di Selinunte,12,12,2003,2003,2004,2004,56660488,80702668,636,1091,658,664,18,1398
Linosa,17,16,1999,2000,2008,2011,442920222,647189113,629,1052,1335,1430,85,6501
Castro Marina,12,12,2005,2005,2007,2006,189007329,278246122,579,989,803,686,27,2094
Avola,27,24,2000,2000,2008,2008,511303078,674328369,737,1668,1963,2106,100,7689
Pozzuoli,22,21,1988,1989,1999,2002,228549450,258055430,1025,2082,2167,2304,109,8199
Savelletri,11,11,2003,2003,2006,2007,65803818,63670136,529,722,645,572,19,1456
Porto Tolle,4,4,2008,2008,2016,2013,112851427,53251929,674,586,574,699,18,1381
Forio,5,5,1988,1988,2005,2005,49215228,70813670,784,1315,900,901,10,767
Fiumicino,28,25,2010,2010,2013,2013,1375998191,2388194795,871,1167,1115,1120,121,9390
Fregene,9,9,2011,2011,2012,2012,449782646,799464987,1055,918,1008,1008,46,3555
Manfredonia,20,18,2001,2000,2005,2005,95998266,145531998,860,1035,950,951,66,5053
Numana,7,7,1999,1999,2002,2006,151302817,118973347,1122,1519,1547,1375,43,3292
Porticello,11,11,2004,2004,2014,2014,107160322,153578405,1103,1207,1737,1784,21,1593
Patti,2,2,2010,2010,2010,2010,5227231,8613489,428,428,624,674,2,115
Calasetta,6,6,1997,1997,2008,2008,78886692,139272430,983,1075,1023,1025,13,1006
Marina Di Andora,4,4,2000,2000,2009,2009,69561519,120866865,1018,833,954,986,8,616
Agropoli,3,3,1989,1989,1987,1987,6158191,8730602,865,953,843,838,2,160
Marina Grande,7,7,2007,2007,2005,2007,91492182,78910620,847,3213,860,847,30,2292
Bagnoli,4,4,1990,1990,1998,1999,9890114,11509954,984,901,637,630,3,226
Torvaianica,10,5,2009,2009,2009,2009,165449134,189167838,753,802,828,830,28,2129
Imperia,13,6,1997,2001,2008,2009,33481126,51433255,136,391,438,398,12,901
Santa Maria Di Castellabate,9,9,1998,1998,2000,2000,58464113,70489492,812,996,879,899,17,1282
Margherita Di Savoia,1,1,1972,1972,1972,1972,6820895,10176037,1603,1603,1603,1603,2,132
Duino,3,3,2009,2009,2011,2012,201661,281990,7,7,7,7,1,43
Albenga,1,1,2006,2006,2006,2006,63631088,16753467,1360,1360,1360,1360,5,402
Sorrento,7,7,1990,1990,1993,1994,17995109,2993155,3794,4570,4325,4395,22,1686
Maiori,16,12,2006,2006,2006,2006,579596354,314000479,833,1131,1053,1205,73,5682
Vada,32,11,2006,2006,2007,2007,320496179,358292960,967,1131,1531,1541,119,9104
Bianco,10,10,2004,2004,2005,2005,179510786,278417061,918,1220,963,886,33,2514
Alassio,1,1,1997,1997,1997,1997,3002178,4215358,609,609,609,609,0,34
Piano Di Sorrento,16,16,1996,1996,2004,2004,533955957,156494990,666,789,894,953,115,8872
Porto Ercole,5,5,2003,2003,2016,2017,130508095,215360098,1596,5508,1700,1688,25,1930
Capraia,12,12,1997,1997,2001,2003,83310875,45630888,562,769,422,324,20,1500
