int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
La Maddalena,1,1,1991,1991,1991,1991,534904,41389,450,450,450,450,1,43
San Benedetto Del Tr,1,1,2019,2019,2019,2019,20458982,1815550,151,151,151,151,3,216
Rio Maggiore,1,1,1990,1990,1990,1990,209063,65791,59,59,59,59,0,7
Sant'Antioco,1,1,1988,1988,1988,1988,12264053,17347853,2043,2043,2043,2043,3,229
Pescara,1,1,2010,2010,2010,2010,439897,429806,93,93,93,93,1,105
Formia,2,2,1998,1998,2006,2007,7415527,5757249,8556,8556,3574,6903,15,1145
Bellaria,2,2,2011,2011,2011,2011,852954,678959,160,160,156,154,0,33
Torre San Giovanni D'Ugento,4,3,2001,1997,2006,2007,10739346,13256328,503,540,491,481,2,171
Cetraro,1,1,1995,1995,1995,1995,4273278,3198732,508,508,508,508,1,80
Santa Maria Navarrese,2,2,1996,1996,1995,1995,5048107,2331580,377,377,356,364,1,80
Marina Di Davoli,1,1,2014,2014,2014,2014,48132,38466,100,100,100,100,2,144
Santa Marinella,2,2,2009,2009,2009,2009,10362429,14977117,1378,1378,1282,1285,2,179
Riccione,1,1,2002,2002,2002,2002,30580171,46231547,1704,1704,1704,1704,3,240
Bagnara Calabra,2,2,1998,1998,2001,2001,144124832,168088691,982,982,1014,1014,16,1221
Marina Di Ginosa,2,2,2013,2013,2013,2013,68358376,121210176,1788,1788,1384,1345,7,552
Bisceglie,1,1,2001,2001,2001,2001,7232039,10576638,2502,2502,2502,2502,1,108
Cala Del Forte,1,1,2011,2011,2011,2011,12397,8541,38,38,38,38,0,1
Pizzo,1,1,2006,2006,2006,2006,1680570,2924805,852,852,852,852,1,40
Salina,2,2,2002,2002,2001,2001,4895725,7167953,580,580,587,588,1,97
Gabicce Mare,1,1,2015,2015,2015,2015,182818,157812,80,80,80,80,0,6
Bardello,1,1,1988,1988,1988,1988,207019,125440,877,877,877,877,1,53
Marina Di Pisciotta,1,1,2008,2008,2008,2008,8644592,13508346,334,334,334,334,3,208
