int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Clatskanie,3,3,2012,2012,2013,2013,366745205,648151211,5285,3629,4171,4193,26,2028
Harbor Springs,1,1,2008,2008,2008,2008,10316630,13287952,240,240,240,240,1,102
Fairhaven,4,4,1992,1992,1987,1987,2888033,2947133,90,4205,1855,1884,66,4960
Gardiner,2,2,1984,1984,1985,1981,192830,196049,430,430,403,379,11,848
New Harbor,1,1,2011,2011,2011,2011,117251812,214999754,2627,2627,2627,2627,11,834
Manasquan,2,2,2008,2008,2007,2007,94187158,161204067,1699,1699,3345,3364,14,1088
Bronston,1,1,1979,1979,1979,1979,194879,120117,96,96,96,96,0,5
Port Lavaca,3,3,1994,1994,1983,1983,174765,203635,54,411,426,411,1,70
Ship Island,7,6,2013,2014,2012,2012,79136508,116532065,936,686,932,1029,21,1577
Cumberland City,1,1,1974,1974,1974,1974,15547,7967,48,48,48,48,0,2
La Pointe,5,5,1974,1974,1978,1978,34712767,68236400,299,295,316,315,5,362
Stockett,1,1,2002,2002,2002,2002,8048338,13047970,408,408,408,408,1,63
Eureka,11,9,2010,2011,2010,2010,1611141039,2140467024,4917,4530,4907,4956,122,9427
Bremerton,1,1,1967,1967,1967,1967,31318979,6520926,11582,11582,11582,11582,25,1898
Traverse City,1,1,1985,1985,1985,1985,6088,2925,3,3,3,3,6,431
Algonac,3,3,1987,1987,1981,1980,5041719,7310736,264,232,183,178,1,95
Gales Ferry,1,1,2000,2000,2000,2000,146399,23934,598,598,598,598,5,374
Scott,2,2,1970,1970,1971,1971,1172071,321184,973,973,718,973,2,119
George Inlet,1,1,1980,1980,1980,1980,19265,18518,108,108,108,108,0,6
"Spring Valley, San Diego",1,1,2006,2006,2006,2006,26852222,46989936,646,646,646,646,3,218
Smyrna,1,1,1965,1965,1965,1965,492132,125783,435,435,435,435,0,27
Sagaponack,2,2,2008,2008,2008,2009,51071094,59226705,460,460,444,452,6,487
Baldwin,2,2,1994,1994,2005,2001,10134,8497,17,17,16,16,0,19
Logan Township,1,1,1976,1976,1976,1976,693095,596902,1288,1288,1288,1288,3,215
Placida,1,1,1976,1976,1976,1976,1317656,1134781,2449,2449,2449,2449,3,229
Davenport,3,3,2015,2015,2016,2016,121963000,146749801,1645,1102,917,1364,16,1250
Newburgh,2,2,1971,1971,1969,1970,10335,8448,28,28,29,27,0,4
St Louis,5,1,2018,2018,2018,2018,3713569,5935479,34,34,101,101,3,233
Saint Charles,1,1,2018,2018,2018,2018,93918,150112,13,13,13,13,0,5
Belfast,3,2,2013,2010,2003,2006,30909986,4538756,62,32258,2027,192,45,3375
Hyannis,4,4,1986,1986,1997,1995,15580409,3538766,626,7485,2082,1418,30,2232
Conneaut,4,3,2003,1998,2007,2007,10320331,15479837,130,132,123,123,1,100
Daphne,1,1,1997,1997,1997,1997,2976,4307,26,26,26,26,0,3
Somerset,11,5,1984,2000,2002,2005,134406417,145267871,2857,1789,2202,2466,27,2055
North Rose,4,1,1968,1968,1968,1968,216221,79148,105,105,111,111,2,165
East Lake,3,1,1968,1968,1968,1968,218593,80017,88,88,149,149,0,29
Rochester,6,4,1984,1983,2006,2007,4219996,6482415,115,125,202,209,1,94
Ceredo,1,1,1976,1976,1976,1976,3622,2281,14,14,14,14,0,2
Ventnor City,3,3,1997,1997,2005,2005,141402437,259466262,401,891,2123,2148,11,862
Brewster,1,1,1974,1974,1974,1974,221559,272815,1653,1653,1653,1653,6,457
Crystal River,1,1,2010,2010,2010,2010,7912,5290,12,12,12,12,0,6
Huger,3,2,2012,2012,2012,2012,26812077,42511574,1965,1845,1805,1805,9,704
Amelia City,3,3,2008,2008,2007,2007,47478540,72609875,1790,1697,1462,1451,12,930
Upper Brookville,2,2,2012,2012,2009,2009,343934357,643218099,2817,2817,3044,4262,31,2360
Lake Park,3,3,1980,1980,1979,1979,1092172,889151,997,990,962,978,4,281
Summerland Key,3,3,2009,2009,2008,2008,412645525,714173699,4868,4577,5229,5258,45,3441
West Sayville,10,10,2007,2007,2009,2009,2991540164,3394469644,3450,3596,4749,4266,366,28281
