int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Gjesvar,1,1,2020,2020,2020,2020,172004,122096,89,89,89,89,1,86
Moldtustranda,9,9,2004,2004,2005,2004,6888965,8362481,10,287,219,239,62,4665
Skrolsvik,2,2,2002,2002,2008,2004,328713,48857,830,830,730,212,1,74
Nordlenangen,5,5,2002,2002,2009,2009,6461385,9206931,347,405,924,1005,2,171
Hammerfall,15,9,2001,1998,2001,2001,98391901,140351213,1076,1696,1615,1601,26,1984
Kjerringoy,2,2,2010,2010,2011,2011,12718843,18368581,1681,1681,1754,1743,4,302
Eide Sotra,15,11,1997,1997,2009,1999,46134388,17188328,387,405,367,416,13,877
Erfjord - Suldal,17,8,1982,1987,1988,1989,9212773,13033263,376,428,377,391,4,267
Vadheim,1,1,1974,1974,1974,1974,372417,401130,422,422,422,422,0,14
Vikedal,6,2,1977,1984,1978,1980,1311470,1553080,228,213,220,218,1,44
Hoylandsbygda,15,14,1981,1981,1984,1982,4250012,4284526,41,224,283,282,20,1517
Mjolkevikvarden,9,7,1991,1992,1994,1997,9117339,10147015,411,326,427,429,4,289
Fiskarstranda,36,34,1998,1998,1998,1999,116639531,72784526,452,1469,1292,1118,101,7625
Skjerkoya,45,12,2007,1997,2012,2006,130781409,37713433,91,348,119,230,29,1833
Langevag,10,9,1996,1997,1990,2001,15895091,10705564,302,1464,910,602,31,2347
Skiftun,3,3,1991,1991,1974,1979,17649671,4625370,350,366,564,484,5,350
Arendal,22,17,1999,2003,2010,2012,154048864,236659707,119,859,1226,1582,42,3196
Havik,20,18,1994,1994,1999,1998,25630060,32743391,406,499,471,484,17,1273
Fjelldal,1,1,2009,2009,2009,2009,6884619,9957388,1188,1188,1188,1188,3,227
Midsund,5,5,1980,1980,1987,1988,1294069,1540245,432,457,528,642,4,272
Mehamn,3,3,1992,1992,1995,1996,7224073,7112170,1339,1267,1539,1444,3,257
Sandnessjoen,22,21,1998,1998,2008,2009,34679804,20921488,196,835,582,488,52,3883
Hordvik,7,7,1990,1990,2005,2005,35907325,44849459,721,1316,1186,1185,13,952
Vagaholmen,6,5,1998,1998,2000,2001,8439948,12989486,942,630,747,935,4,297
Uskedalen,4,4,2009,2009,2008,2007,5843056,6979886,546,528,523,538,2,178
Hareid,9,9,2001,2001,2008,2007,56437225,78700744,604,904,1134,1251,15,1133
Finneidfjord,1,1,1997,1997,1997,1997,2153892,2907292,1156,1156,1156,1156,1,58
Fjarland,2,2,1997,1997,1997,1997,3294103,4834374,1169,1169,1086,1112,2,116
Flekkefjord,9,9,1992,1992,2016,2016,85288325,139077652,417,697,1397,1687,24,1813
Stavern,62,13,1983,1989,2012,2013,56963707,91886535,128,453,864,968,22,1681
Svolvaer,12,12,1989,1989,1975,1975,31873171,6781141,93,474,778,718,27,2030
Eidfjord,30,10,2001,1994,2004,2003,1380695583,167492754,654,598,716,728,324,24336
Vardo,21,19,1995,1994,2004,2005,309357651,517919760,1518,2444,1716,1693,69,5199
Gismarvik,12,12,2007,2007,2010,2009,32362036,31360107,469,440,489,480,12,870
Anfinnsletta,3,3,2004,2004,2000,2000,34740665,56281133,1021,995,1016,1017,4,329
Raunes - Vindafjord,5,5,2005,2005,2007,2007,6646650,7790793,416,495,524,504,3,237
Leines,1,1,1997,1997,1997,1997,128853,11320,333,333,333,333,0,14
Sorkjosen,2,1,1992,1992,1992,1992,4443402,6754082,1390,1390,1390,1390,2,146
Vikan,7,7,1995,1995,1988,1987,4557215,3557165,284,401,562,661,10,733
Langstein,3,2,1994,1994,1994,1994,6320899,8160174,693,903,823,824,2,140
Vormedal,16,15,1991,1991,2005,1993,29036290,15334946,327,323,406,297,15,1082
Tonnes,3,3,1991,1991,1997,1995,792338,150978,207,642,279,249,3,227
Solund,2,2,2001,2001,2002,2002,6769644,4860922,4578,4578,3818,3729,6,418
Kragero,5,5,1985,1985,1989,1989,3447212,2562366,136,3759,1261,881,33,2490
Sandefjorden,19,13,2000,1999,1995,2002,72067082,27282733,153,287,567,244,25,1825
Kvithylla,9,8,1993,1992,1998,1999,36459232,18173425,834,1052,1010,872,21,1615
Utvorda,2,2,2016,2016,2015,2015,18688,11171,36,36,34,28,0,32
Byggnes - Karmoy,5,4,2001,2002,2000,1999,2413071,1238050,240,253,277,253,2,185
Skarholmen,16,14,2001,2000,2007,2006,179416303,34522383,534,515,508,449,44,3276
Luroy,1,1,1986,1986,1986,1986,402,170,2,2,2,2,1,64
Straume,10,8,1996,1998,2006,2005,20657515,18556284,500,1159,1630,1557,17,1275
Blomvag,13,9,2003,2005,2004,2003,326235840,533340097,457,446,686,695,25,1880
Eidsdal,1,1,1978,1978,1978,1978,462762,331276,569,569,569,569,8,621
Straumsjoen,2,2,1998,1998,2006,2007,31706,30206,38,38,43,45,1,88
Grip,5,5,2002,2002,2000,2000,17101211,22663496,704,726,705,696,4,291
Lyngstad,7,7,1980,1980,2000,2000,15273505,24011859,21,355,944,951,15,1132
Savlandsvik,2,2,1976,1976,1985,1985,212264,141620,613,613,331,318,10,718
Skjarhalden,5,5,1999,1999,2012,2012,125428845,195691718,283,1366,4259,4454,15,1143
Tomrefjord,7,7,2002,2002,2012,2012,170329879,303339502,70,1202,2592,3259,33,2522
Utne,24,16,1995,1996,1997,1997,44744962,67363879,612,689,667,672,13,1011
Vestnes,14,12,1996,1994,2004,2004,16141122,20648476,602,951,928,974,23,1756
Karvikhamn,1,1,1986,1986,1986,1986,10143104,5101038,5897,5897,5897,5897,5,383
Sandefjord,110,5,1986,1987,1987,1988,859535248,133404405,302,354,468,452,264,19842
Espevik,2,2,1985,1985,1978,1978,585978,839932,140,140,160,155,0,17
Litangen,16,9,1996,1996,2000,2001,9631047,15546459,176,229,240,243,4,312
Sorreisa,25,21,1997,1998,2000,2000,158018081,158570573,1211,1135,1191,1135,42,3096
Froan,2,2,2003,2003,1994,1993,11564313,17183152,921,921,1080,1113,4,294
Andalsnes,9,5,2004,2002,2001,1999,360601136,138971084,2534,2116,1586,2192,79,6016
Spjelkavik,26,19,1999,1999,1999,1999,64486506,69554718,691,1184,670,695,50,3732
Akkarfjord,6,5,2009,2008,2013,2013,227081282,339859498,1054,789,891,919,65,4889
Sorvar,5,4,2006,2004,2013,2014,327534393,438432627,1197,3893,1254,1202,24,1847
Gamvik,1,1,1998,1998,1998,1998,1919,249,12,12,12,12,0,20
Ansnes,2,2,2006,2006,2003,2003,3206456,4482042,683,683,1123,1221,1,50
Oksfjord,4,4,1984,1984,1984,1984,3249054,4535857,600,639,755,801,4,337
Sorarnoy,2,2,1968,1968,1972,1972,887019,335578,845,845,851,851,1,83
Hestvika,12,7,1987,1991,1984,1983,10782378,15685113,656,506,544,584,13,953
Hjorungavag,9,9,2003,2003,2003,2002,8850412,9554196,430,449,335,373,19,1427
Hvasser,11,9,1997,1997,1995,1997,16597162,20620932,485,496,284,397,7,500
Utgardskilen,3,2,1999,1998,1995,1995,1461850,2225562,106,286,434,456,1,79
Torsvag,6,6,1998,1998,1992,1992,76429351,37778566,1416,2859,3992,3141,18,1386
Sandsoy,2,2,2004,2004,2011,2006,254598,115686,163,163,140,77,0,28
Melbu,4,4,1999,1999,1991,1990,5040464,4309581,108,347,388,622,2,176
Jarlsoy,3,1,2001,2001,2001,2001,25280,17764,42,42,46,46,0,28
Tromvik,2,2,2004,2004,1994,1996,2322857,896151,3178,3178,698,175,5,408
Siholmen,4,4,2002,2002,1985,1985,984559,696413,4,384,259,162,3,190
Baly,6,4,2000,1997,2005,2007,2011592,2021020,417,436,300,339,3,234
Risoyhamn,1,1,1996,1996,1996,1996,3020233,4630105,1061,1061,1061,1061,1,44
Andenes,3,3,2002,2002,2006,2000,11560690,9629022,1113,1192,1243,1131,3,201
Uloybukt,2,2,2012,2012,2014,2014,1043435,1754044,178,178,310,342,1,87
Arnoyhamn,3,2,2003,2004,2007,2008,4539838,5757553,1035,2022,2194,2915,6,449
Rorvik,8,8,2007,2007,2009,2009,16929620,9311144,439,468,681,572,7,553
Byrknesoy,5,5,2003,2003,2006,2006,1288546,681908,122,302,152,140,12,928
Akrehamn,5,5,1984,1984,1981,1981,503666,315404,273,291,139,118,3,246
Namsos,2,2,1986,1986,1996,1996,2323591,4042818,423,423,361,440,1,61
Steinvig,2,2,1992,1992,1995,1989,974958,615383,393,393,392,375,0,37
Larkollen,2,2,2004,2004,2005,2005,9271087,14124090,1810,1810,1931,1939,4,323
Berlevag,2,2,1992,1992,1988,1988,429618,192974,1266,1266,1249,1246,3,260
Hansnes,1,1,2001,2001,2001,2001,44164326,5908014,15345,15345,15345,15345,19,1454
Etne,5,3,2010,2008,2011,2011,7552948,7642751,330,311,368,379,4,293
Vikholmen,3,3,2003,2003,2007,2007,14258038,22818126,809,597,813,821,3,235
Glesvar,3,3,2002,2002,2009,2006,16189759,10760466,499,924,1542,1191,4,337
