int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Baie Comeau,87,67,2010,2010,2011,2012,6967696582,11304200202,3014,3526,3840,4014,864,66216
Esquimalt,29,14,1982,1994,2010,2012,1529236899,2639495085,307,2036,2287,4491,141,10750
Powell River,75,18,1981,1983,2015,2016,204749048,306634858,184,708,3116,3846,37,2717
Port Weller,540,184,1992,1999,1997,1997,2609055457,3975914650,227,319,314,316,413,31014
Thunder Bay,195,97,1997,1999,1998,1998,1007426103,1547874656,239,253,266,265,143,10762
Fort William,84,40,1992,1996,1992,1992,452512017,702941225,237,268,272,271,62,4660
Goulais Bay,12,12,1976,1976,1972,1971,50593416,106788519,320,301,299,320,10,741
Cockburn,91,20,1965,1978,1970,1970,328570883,509150320,264,269,262,261,52,3903
Batchawana Bay,8,6,1974,1973,1973,1973,38114596,82751420,340,327,338,335,5,402
Halifax,961,344,2008,2007,2010,2009,84763065337,75814010947,750,1751,1672,1955,9795,749356
Pointe Noire,90,70,2008,2010,2011,2011,34630353740,66169088622,2872,5529,6561,6710,2059,158771
Toronto,26,22,1999,1997,2008,2008,126597801,183534010,268,342,382,388,19,1429
Little Current,25,6,1982,1985,1991,1996,25555032,13650480,133,170,211,214,11,795
Point Edward,57,47,1985,1987,1993,1991,155798600,254753935,146,218,195,196,51,3833
Kingsville,9,9,1983,1983,1974,1975,14916994,23645468,90,826,122,102,12,920
Sarnia,193,58,1983,1985,1983,1982,733675044,1409118885,171,238,278,282,141,10613
Come By Chance Harbor,241,189,2009,2010,2009,2009,26226272113,47787834806,1880,2224,2323,2352,2832,216660
Lockeport,9,9,1995,1995,1995,1995,29483215,19216209,1060,3825,1750,1382,31,2350
Sept-Iles,106,100,2011,2011,2012,2011,45525062091,87457458070,3111,5581,6415,6471,2642,203754
St Johns,66,63,1999,1999,2003,2006,1832644362,1406349128,1857,3073,1330,852,513,39117
Point Tupper,132,86,2007,2007,2007,2007,11026929010,19851622709,1173,1806,1604,1587,1198,91126
Port Hawkesbury,36,17,1995,1999,1991,1991,1694129357,2730339074,1249,1341,1477,1488,162,12295
Stewart,18,18,2012,2012,2012,2012,1396246203,2163532701,4473,4179,3991,3963,156,12005
Summerside,4,4,2003,2003,2006,2006,81490096,124336256,499,994,1174,1188,9,699
Canaport,96,90,2010,2010,2010,2010,18368763996,32544906493,2325,2383,2514,2514,1689,126125
Aguathuna,17,17,2010,2010,2011,2012,1730829707,2922998059,2783,2986,2895,2959,157,12039
Hamilton,97,57,1994,1999,1995,1995,801623674,1210769327,270,619,512,514,137,10327
Quebec,255,211,2007,2008,2010,2010,37046570957,66758933567,3103,3644,4298,4412,3611,276845
Sainte Victoir,25,22,2008,2008,2008,2008,1770750430,2974193592,1679,2177,2137,2118,272,20550
Sillery,4,4,2009,2009,2007,2007,305709839,510662781,2534,2672,2494,2521,38,2935
Prince Rupert,416,283,2004,2010,2011,2011,70755929440,118110213253,3686,4418,3260,3841,5523,423659
English Bay,52,14,2001,1992,2005,2005,2525176875,270816181,796,1128,758,767,715,53807
Victoria,274,56,2004,2003,2004,2008,5511252196,2356120956,90,1222,234,800,1333,100453
Sydney,19,17,2000,2001,2002,2002,1525911847,1917244602,2368,2252,2108,2457,222,16942
Beaver Cove,79,15,1995,1994,1997,1997,3185464015,5211709604,930,1901,1055,1054,335,25213
Lower Sackville,1,1,2001,2001,2001,2001,8019445,5648884,5187,5187,5187,5187,3,194
Sorel,70,68,2009,2009,2009,2009,5619322946,9098078152,3355,3844,4012,4046,686,52645
